filename,compound_name,area
230810_Blk_G5_NFEX_T24_Urea_Blk_A.mzML,"Dimethylglycine 1(15N), 0(13C)",20752.663132238766
230810_Blk_G5_NFEX_T24_Urea_Blk_A.mzML,"Ectoine 0(15N), 0(13C)",36751.16924632356
230810_Blk_G5_NFEX_T24_Urea_Blk_A.mzML,"Ectoine 0(15N), 1(13C)",0
230810_Blk_G5_NFEX_T24_Urea_Blk_A.mzML,"Ectoine 1(15N), 0(13C)",16273.638654214257
230810_Blk_G5_NFEX_T24_Urea_Blk_A.mzML,"Glycine 0(15N), 0(13C)",21356.473960137697
230810_Blk_G5_NFEX_T24_Urea_Blk_A.mzML,"Glycine 1(15N), 0(13C)",0
230810_Blk_G5_NFEX_T24_Urea_Blk_A.mzML,"Lysine 0(15N), 0(13C)",1631.192659028818
230810_Blk_G5_NFEX_T24_Urea_Blk_A.mzML,"Proline 0(15N), 0(13C)",184625.35706073593
230810_Blk_G5_NFEX_T24_Urea_Blk_A.mzML,"Proline 0(15N), 1(13C)",7446.314455367052
230810_Blk_G5_NFEX_T24_Urea_Blk_A.mzML,"Proline 1(15N), 0(13C)",25414.420358881838
230810_Blk_G5_NFEX_T24_Urea_Blk_A.mzML,"Proline Betaine 0(15N), 0(13C)",31691.252472951786
230810_Blk_G5_NFEX_T24_Urea_Blk_A.mzML,"Proline Betaine 1(15N), 0(13C)",0
230810_Blk_G5_NFEX_T24_Urea_Blk_A.mzML,"Trimethylamine N-Oxide 0(15N), 0(13C)",166244.39535858546
230810_Blk_G5_NFEX_T24_Urea_Blk_A.mzML,"Trimethylamine N-Oxide 0(15N), 1(13C)",3889.706715851224
230810_Poo_G5_NFEX_Full1.mzML,"Carnitine 0(15N), 0(13C)",731172.6980944984
230810_Poo_G5_NFEX_Full1.mzML,"Carnitine 0(15N), 1(13C)",51418.55265732205
230810_Poo_G5_NFEX_Full1.mzML,"Carnitine 1(15N), 0(13C)",22086.908840464846
230810_Poo_G5_NFEX_Full1.mzML,"Choline 0(15N), 0(13C)",28603.941573396463
230810_Poo_G5_NFEX_Full1.mzML,"Choline 1(15N), 0(13C)",0
230810_Poo_G5_NFEX_Full1.mzML,"Dimethylglycine 0(15N), 0(13C)",2836294.832147742
230810_Poo_G5_NFEX_Full1.mzML,"Dimethylglycine 0(15N), 1(13C)",114360.19835304291
230810_Poo_G5_NFEX_Full1.mzML,"Dimethylglycine 1(15N), 0(13C)",19844.124618007263
230810_Poo_G5_NFEX_Full1.mzML,"Ectoine 0(15N), 0(13C)",321657.337835831
230810_Poo_G5_NFEX_Full1.mzML,"Ectoine 0(15N), 1(13C)",19874.806523557058
230810_Poo_G5_NFEX_Full1.mzML,"Ectoine 1(15N), 0(13C)",6092.33631131418
230810_Poo_G5_NFEX_Full1.mzML,"Ectoine 2(15N), 0(13C)",713.3163732449126
230810_Poo_G5_NFEX_Full1.mzML,"Glycine 0(15N), 0(13C)",84021.2103669218
230810_Poo_G5_NFEX_Full1.mzML,"Glycine 0(15N), 1(13C)",0
230810_Poo_G5_NFEX_Full1.mzML,"Glycine 1(15N), 0(13C)",23504.833871967785
230810_Poo_G5_NFEX_Full1.mzML,"Lysine 0(15N), 0(13C)",36295.946252016074
230810_Poo_G5_NFEX_Full1.mzML,"Lysine 1(15N), 0(13C)",761.2819119199319
230810_Poo_G5_NFEX_Full1.mzML,"Lysine 2(15N), 0(13C)",6544.253656451654
230810_Poo_G5_NFEX_Full1.mzML,"Proline 0(15N), 0(13C)",1080722.7951584845
230810_Poo_G5_NFEX_Full1.mzML,"Proline 0(15N), 1(13C)",54668.76488969965
230810_Poo_G5_NFEX_Full1.mzML,"Proline 1(15N), 0(13C)",228546.7894101017
230810_Poo_G5_NFEX_Full1.mzML,"Proline 1(15N), 1(13C)",10376.876839042681
230810_Poo_G5_NFEX_Full1.mzML,"Proline Betaine 0(15N), 0(13C)",513555.0293631441
230810_Poo_G5_NFEX_Full1.mzML,"Proline Betaine 0(15N), 1(13C)",35323.857888692946
230810_Poo_G5_NFEX_Full1.mzML,"Proline Betaine 1(15N), 0(13C)",0
230810_Poo_G5_NFEX_Full1.mzML,"Trimethylamine N-Oxide 0(15N), 0(13C)",1847217.021924351
230810_Poo_G5_NFEX_Full1.mzML,"Trimethylamine N-Oxide 0(15N), 1(13C)",56781.35464381423
230810_Poo_G5_NFEX_Full1.mzML,"Trimethylamine N-Oxide 1(15N), 0(13C)",24744.479266190985
230810_Poo_G5_NFEX_Full10.mzML,"Carnitine 0(15N), 0(13C)",632407.7229342246
230810_Poo_G5_NFEX_Full10.mzML,"Carnitine 0(15N), 1(13C)",42594.63810361804
230810_Poo_G5_NFEX_Full10.mzML,"Carnitine 1(15N), 0(13C)",19943.570951613507
230810_Poo_G5_NFEX_Full10.mzML,"Carnitine 1(15N), 1(13C)",0
230810_Poo_G5_NFEX_Full10.mzML,"Choline 0(15N), 0(13C)",61563.64341856085
230810_Poo_G5_NFEX_Full10.mzML,"Choline 0(15N), 1(13C)",1395.9624246689377
230810_Poo_G5_NFEX_Full10.mzML,"Choline 1(15N), 0(13C)",2441.012909821288
230810_Poo_G5_NFEX_Full10.mzML,"Dimethylglycine 0(15N), 0(13C)",3039381.4338565087
230810_Poo_G5_NFEX_Full10.mzML,"Dimethylglycine 0(15N), 1(13C)",127004.15968730366
230810_Poo_G5_NFEX_Full10.mzML,"Dimethylglycine 1(15N), 0(13C)",19616.746581620435
230810_Poo_G5_NFEX_Full10.mzML,"Ectoine 0(15N), 0(13C)",271421.7746288733
230810_Poo_G5_NFEX_Full10.mzML,"Ectoine 0(15N), 1(13C)",15752.647958663729
230810_Poo_G5_NFEX_Full10.mzML,"Ectoine 1(15N), 0(13C)",4221.467878449684
230810_Poo_G5_NFEX_Full10.mzML,"Ectoine 2(15N), 0(13C)",3626.8039881074947
230810_Poo_G5_NFEX_Full10.mzML,"Glycine 0(15N), 0(13C)",80819.20217439716
230810_Poo_G5_NFEX_Full10.mzML,"Glycine 1(15N), 0(13C)",25820.934424229916
230810_Poo_G5_NFEX_Full10.mzML,"Lysine 0(15N), 0(13C)",23915.102330871046
230810_Poo_G5_NFEX_Full10.mzML,"Proline 0(15N), 0(13C)",795830.2444550424
230810_Poo_G5_NFEX_Full10.mzML,"Proline 0(15N), 1(13C)",37216.86806253537
230810_Poo_G5_NFEX_Full10.mzML,"Proline 1(15N), 0(13C)",156869.95218124197
230810_Poo_G5_NFEX_Full10.mzML,"Proline 1(15N), 1(13C)",7096.641660746287
230810_Poo_G5_NFEX_Full10.mzML,"Proline Betaine 0(15N), 0(13C)",480901.05916510377
230810_Poo_G5_NFEX_Full10.mzML,"Proline Betaine 0(15N), 1(13C)",32540.988431815436
230810_Poo_G5_NFEX_Full10.mzML,"Proline Betaine 1(15N), 0(13C)",6820.605155486913
230810_Poo_G5_NFEX_Full10.mzML,"Trimethylamine N-Oxide 0(15N), 0(13C)",1716707.3219907472
230810_Poo_G5_NFEX_Full10.mzML,"Trimethylamine N-Oxide 0(15N), 1(13C)",50773.79828839201
230810_Poo_G5_NFEX_Full10.mzML,"Trimethylamine N-Oxide 1(15N), 0(13C)",25785.10720700888
230810_Poo_G5_NFEX_Full11.mzML,"Carnitine 0(15N), 0(13C)",612659.5733037266
230810_Poo_G5_NFEX_Full11.mzML,"Carnitine 0(15N), 1(13C)",42087.20780381951
230810_Poo_G5_NFEX_Full11.mzML,"Carnitine 1(15N), 0(13C)",19114.59314882536
230810_Poo_G5_NFEX_Full11.mzML,"Choline 0(15N), 0(13C)",104008.79135290066
230810_Poo_G5_NFEX_Full11.mzML,"Choline 0(15N), 1(13C)",3739.244803637706
230810_Poo_G5_NFEX_Full11.mzML,"Choline 1(15N), 0(13C)",5588.674450032734
230810_Poo_G5_NFEX_Full11.mzML,"Dimethylglycine 0(15N), 0(13C)",2937367.1153624794
230810_Poo_G5_NFEX_Full11.mzML,"Dimethylglycine 0(15N), 1(13C)",122602.52957310388
230810_Poo_G5_NFEX_Full11.mzML,"Dimethylglycine 1(15N), 0(13C)",19843.239583663653
230810_Poo_G5_NFEX_Full11.mzML,"Ectoine 0(15N), 0(13C)",256865.97444871184
230810_Poo_G5_NFEX_Full11.mzML,"Ectoine 0(15N), 1(13C)",19377.78136453559
230810_Poo_G5_NFEX_Full11.mzML,"Ectoine 1(15N), 0(13C)",6687.400134521792
230810_Poo_G5_NFEX_Full11.mzML,"Ectoine 2(15N), 0(13C)",997.1072637101595
230810_Poo_G5_NFEX_Full11.mzML,"Glycine 0(15N), 0(13C)",80511.57221113094
230810_Poo_G5_NFEX_Full11.mzML,"Glycine 0(15N), 1(13C)",1131.320274708996
230810_Poo_G5_NFEX_Full11.mzML,"Glycine 1(15N), 0(13C)",24218.008867689467
230810_Poo_G5_NFEX_Full11.mzML,"Lysine 0(15N), 0(13C)",22025.14701264214
230810_Poo_G5_NFEX_Full11.mzML,"Lysine 1(15N), 0(13C)",0
230810_Poo_G5_NFEX_Full11.mzML,"Proline 0(15N), 0(13C)",737625.2150753968
230810_Poo_G5_NFEX_Full11.mzML,"Proline 0(15N), 1(13C)",34590.0862185967
230810_Poo_G5_NFEX_Full11.mzML,"Proline 1(15N), 0(13C)",156252.39902114877
230810_Poo_G5_NFEX_Full11.mzML,"Proline 1(15N), 1(13C)",7614.47833440865
230810_Poo_G5_NFEX_Full11.mzML,"Proline Betaine 0(15N), 0(13C)",477021.78589872236
230810_Poo_G5_NFEX_Full11.mzML,"Proline Betaine 0(15N), 1(13C)",29440.13770588203
230810_Poo_G5_NFEX_Full11.mzML,"Trimethylamine N-Oxide 0(15N), 0(13C)",1694257.5126746641
230810_Poo_G5_NFEX_Full11.mzML,"Trimethylamine N-Oxide 0(15N), 1(13C)",52200.94155924284
230810_Poo_G5_NFEX_Full11.mzML,"Trimethylamine N-Oxide 1(15N), 0(13C)",24833.39410119528
230810_Poo_G5_NFEX_Full2.mzML,"Carnitine 0(15N), 0(13C)",859625.4634179836
230810_Poo_G5_NFEX_Full2.mzML,"Carnitine 0(15N), 1(13C)",60437.657621668404
230810_Poo_G5_NFEX_Full2.mzML,"Carnitine 1(15N), 0(13C)",25334.45601241321
230810_Poo_G5_NFEX_Full2.mzML,"Carnitine 1(15N), 1(13C)",951.8791343418018
230810_Poo_G5_NFEX_Full2.mzML,"Choline 0(15N), 0(13C)",34929.651610514156
230810_Poo_G5_NFEX_Full2.mzML,"Dimethylglycine 0(15N), 0(13C)",3133223.841748673
230810_Poo_G5_NFEX_Full2.mzML,"Dimethylglycine 0(15N), 1(13C)",126924.58252731644
230810_Poo_G5_NFEX_Full2.mzML,"Dimethylglycine 1(15N), 0(13C)",23015.620008811427
230810_Poo_G5_NFEX_Full2.mzML,"Ectoine 0(15N), 0(13C)",384870.65960707486
230810_Poo_G5_NFEX_Full2.mzML,"Ectoine 0(15N), 1(13C)",26162.05714748222
230810_Poo_G5_NFEX_Full2.mzML,"Ectoine 1(15N), 0(13C)",20191.386293369418
230810_Poo_G5_NFEX_Full2.mzML,"Ectoine 2(15N), 0(13C)",4156.394629124988
230810_Poo_G5_NFEX_Full2.mzML,"Glycine 0(15N), 0(13C)",85095.09757064623
230810_Poo_G5_NFEX_Full2.mzML,"Glycine 0(15N), 1(13C)",812.1642592778373
230810_Poo_G5_NFEX_Full2.mzML,"Glycine 1(15N), 0(13C)",22181.321337900354
230810_Poo_G5_NFEX_Full2.mzML,"Lysine 0(15N), 0(13C)",39135.06800924707
230810_Poo_G5_NFEX_Full2.mzML,"Lysine 1(15N), 0(13C)",3279.410809164041
230810_Poo_G5_NFEX_Full2.mzML,"Lysine 2(15N), 0(13C)",3276.486109887237
230810_Poo_G5_NFEX_Full2.mzML,"Proline 0(15N), 0(13C)",1157689.04502091
230810_Poo_G5_NFEX_Full2.mzML,"Proline 0(15N), 1(13C)",53405.744333629045
230810_Poo_G5_NFEX_Full2.mzML,"Proline 1(15N), 0(13C)",257807.06335400272
230810_Poo_G5_NFEX_Full2.mzML,"Proline 1(15N), 1(13C)",10981.013429310817
230810_Poo_G5_NFEX_Full2.mzML,"Proline Betaine 0(15N), 0(13C)",598237.916438587
230810_Poo_G5_NFEX_Full2.mzML,"Proline Betaine 0(15N), 1(13C)",40574.98298676026
230810_Poo_G5_NFEX_Full2.mzML,"Proline Betaine 1(15N), 0(13C)",7216.007252019417
