filename,compound_name,area,cmpd_type,samp_type,day
230831_Smp_LabBlk_1_C,"Arsenobetaine, 13C2",114135320,IS,Smp,NA
230831_Smp_LabBlk_1_C_2ndInj,"Arsenobetaine, 13C2",147279232,IS,Smp,NA
230831_Smp_LabBlk_2_A,"Arsenobetaine, 13C2",557090688,IS,Smp,NA
230831_Smp_LabBlk_2_B,"Arsenobetaine, 13C2",518793088,IS,Smp,NA
230831_Smp_LabBlk_2_C,"Arsenobetaine, 13C2",584497600,IS,Smp,NA
230831_Smp_LabBlk_3_A,"Arsenobetaine, 13C2",775827968,IS,Smp,NA
230831_Smp_LabBlk_3_B,"Arsenobetaine, 13C2",397839808,IS,Smp,NA
230831_Smp_LabBlk_3_C,"Arsenobetaine, 13C2",630584064,IS,Smp,NA
230831_Smp_LabBlk_4_A,"Arsenobetaine, 13C2",414495904,IS,Smp,NA
230831_Smp_LabBlk_4_B,"Arsenobetaine, 13C2",700177984,IS,Smp,NA
230831_Smp_LabBlk_4_C,"Arsenobetaine, 13C2",431133408,IS,Smp,NA
230831_Smp_LabBlk_5_A,"Arsenobetaine, 13C2",599342976,IS,Smp,NA
230831_Smp_LabBlk_5_B,"Arsenobetaine, 13C2",480739008,IS,Smp,NA
230831_Smp_LabBlk_5_C,"Arsenobetaine, 13C2",555105792,IS,Smp,NA
230831_Std_4uMStdsMix1InH2O_1,"Glycine betaine 0(15N), 0(13C)",1220050,Non-IS,Std,NA
230831_Std_4uMStdsMix1InH2O_2,"Glycine betaine 0(15N), 0(13C)",770926,Non-IS,Std,NA
230831_Std_4uMStdsMix1InH2O_3,"Glycine betaine 0(15N), 0(13C)",471850,Non-IS,Std,NA
230831_Std_4uMStdsMix1InMatrix_1,"Glycine betaine 0(15N), 0(13C)",913051,Non-IS,Std,NA
230831_Std_4uMStdsMix1InMatrix_2,"Glycine betaine 0(15N), 0(13C)",2645996,Non-IS,Std,NA
230831_Std_4uMStdsMix1InMatrix_3,"Glycine betaine 0(15N), 0(13C)",1371475,Non-IS,Std,NA
230831_Std_4uMStdsMix2InH2O_1,"Glycine betaine 0(15N), 0(13C)",2196653824,Non-IS,Std,NA
230831_Std_4uMStdsMix2InH2O_2,"Glycine betaine 0(15N), 0(13C)",2208470272,Non-IS,Std,NA
230831_Std_4uMStdsMix2InH2O_3,"Glycine betaine 0(15N), 0(13C)",2338746624,Non-IS,Std,NA
