compound_name,rf,rf_ratio
"Glycine betaine 0(15N), 0(13C)",368594986.25,690.5230165265165
"Guanine 0(15N), 0(13C)",202991403.08333334,189.18554466764567
"Homarine 0(15N, 0(13C)",652445761.0833334,749.5848259663309
"L- Glutamine 0(15N), 0(13C)",40750069.666666664,252.9396932626598
"L-Glutamic acid 0(15N), 0(13C)",19793708.333333332,36.88782999233213
