filename,compound_name,conc_um
230831_Std_4uMStdsMix1InH2O_1,"Glycine betaine 0(15N), 0(13C)",4
230831_Std_4uMStdsMix1InH2O_2,"Glycine betaine 0(15N), 0(13C)",4
230831_Std_4uMStdsMix1InH2O_3,"Glycine betaine 0(15N), 0(13C)",4
230831_Std_4uMStdsMix1InMatrix_1,"Glycine betaine 0(15N), 0(13C)",4
230831_Std_4uMStdsMix1InMatrix_2,"Glycine betaine 0(15N), 0(13C)",4
230831_Std_4uMStdsMix1InMatrix_3,"Glycine betaine 0(15N), 0(13C)",4
230831_Std_4uMStdsMix2InH2O_1,"Glycine betaine 0(15N), 0(13C)",4
230831_Std_4uMStdsMix2InH2O_2,"Glycine betaine 0(15N), 0(13C)",4
230831_Std_4uMStdsMix2InH2O_3,"Glycine betaine 0(15N), 0(13C)",4
230831_Std_4uMStdsMix2InMatrix_1,"Glycine betaine 0(15N), 0(13C)",4
230831_Std_4uMStdsMix2InMatrix_2,"Glycine betaine 0(15N), 0(13C)",4
230831_Std_4uMStdsMix2InMatrix_3,"Glycine betaine 0(15N), 0(13C)",4
230831_Std_H2OinMatrix_1,"Glycine betaine 0(15N), 0(13C)",4
230831_Std_H2OinMatrix_2,"Glycine betaine 0(15N), 0(13C)",4
230831_Std_H2OinMatrix_3,"Glycine betaine 0(15N), 0(13C)",4
230831_Poo_G5_NFEX-CatEx_Full1,"Glycine betaine 0(15N), 0(13C)",4
230831_Poo_G5_NFEX-CatEx_Full2,"Glycine betaine 0(15N), 0(13C)",4
230831_Poo_G5_NFEX-CatEx_Full3,"Glycine betaine 0(15N), 0(13C)",4
230831_Poo_G5_NFEX-CatEx_Full4,"Glycine betaine 0(15N), 0(13C)",4
230831_Poo_G5_NFEX-CatEx_Full5,"Glycine betaine 0(15N), 0(13C)",4
230831_Poo_G5_NFEX-CatEx_Full6,"Glycine betaine 0(15N), 0(13C)",4
230831_Poo_G5_NFEX-CatEx_Full7,"Glycine betaine 0(15N), 0(13C)",4
230831_Poo_G5_NFEX-CatEx_Full8,"Glycine betaine 0(15N), 0(13C)",4
230831_Poo_G5_NFEX-CatEx_Full9,"Glycine betaine 0(15N), 0(13C)",4
230831_Poo_G5_NFEX-CatEx_Full10,"Glycine betaine 0(15N), 0(13C)",4
230831_Poo_G5_NFEX-CatEx_Full11,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_G5_NFEX_T0_Metab_A,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_G5_NFEX_T0_Metab_B,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_G5_NFEX_T0_Metab_C,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_G5_NFEX_T6_NH4_Metab_A,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_G5_NFEX_T6_NH4_Metab_B,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_G5_NFEX_T6_NH4_Metab_C,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_G5_NFEX_T6_NO3_Metab_A,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_G5_NFEX_T6_NO3_Metab_B,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_G5_NFEX_T6_NO3_Metab_C,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_G5_NFEX_T6_Urea_Metab_A,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_G5_NFEX_T6_Urea_Metab_B,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_G5_NFEX_T6_Urea_Metab_C,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_G5_NFEX_T12_NH4_Metab_A,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_G5_NFEX_T12_NH4_Metab_B,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_G5_NFEX_T12_NH4_Metab_C,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_G5_NFEX_T12_NO3_Metab_A,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_G5_NFEX_T12_NO3_Metab_B,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_G5_NFEX_T12_NO3_Metab_C,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_G5_NFEX_T12_Urea_Metab_A,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_G5_NFEX_T12_Urea_Metab_B,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_G5_NFEX_T12_Urea_Metab_C,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_G5_NFEX_T24_NH4_Metab_A,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_G5_NFEX_T24_NH4_Metab_B,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_G5_NFEX_T24_NH4_Metab_C,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_G5_NFEX_T24_NO3_Metab_A,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_G5_NFEX_T24_NO3_Metab_B,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_G5_NFEX_T24_NO3_Metab_C,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_G5_NFEX_T24_Urea_Metab_A,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_G5_NFEX_T24_Urea_Metab_B,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_G5_NFEX_T24_Urea_Metab_C,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_G5_NFEX_T24_Urea_Metab_C_2ndInj,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_LabBlk_1_A,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_LabBlk_1_B,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_LabBlk_1_C,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_LabBlk_1_C_2ndInj,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_LabBlk_2_A,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_LabBlk_2_B,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_LabBlk_2_C,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_LabBlk_3_A,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_LabBlk_3_B,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_LabBlk_3_C,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_LabBlk_4_A,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_LabBlk_4_B,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_LabBlk_4_C,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_LabBlk_5_A,"Glycine betaine 0(15N), 0(13C)",4
230831_Smp_LabBlk_5_B,"Glycine betaine 0(15N), 0(13C)",4
