filename,compound_name,area,cmpd_type,samp_type,day
230810_Smp_G5_NFEX_T24_NH4_Metab_C,"Arsenobetaine, 13C2",700186240,IS,Smp,24
230810_Smp_G5_NFEX_T24_NO3_Metab_A,"Arsenobetaine, 13C2",620907264,IS,Smp,24
230810_Smp_G5_NFEX_T24_NO3_Metab_B,"Arsenobetaine, 13C2",659452864,IS,Smp,24
230810_Smp_G5_NFEX_T24_NO3_Metab_C,"Arsenobetaine, 13C2",680675200,IS,Smp,24
230810_Smp_G5_NFEX_T24_Urea_Metab_A,"Arsenobetaine, 13C2",684657984,IS,Smp,24
230810_Smp_G5_NFEX_T24_Urea_Metab_B,"Arsenobetaine, 13C2",587306048,IS,Smp,24
230810_Smp_G5_NFEX_T24_Urea_Metab_C,"Arsenobetaine, 13C2",643327872,IS,Smp,24
230810_Std_4uMStdsMix1InH2O_1,"Glycine betaine 0(15N), 0(13C)",53995532,Non-IS,Std,NA
230810_Std_4uMStdsMix1InH2O_2,"Glycine betaine 0(15N), 0(13C)",57044316,Non-IS,Std,NA
230810_Std_4uMStdsMix1InH2O_3,"Glycine betaine 0(15N), 0(13C)",68687640,Non-IS,Std,NA
230810_Std_4uMStdsMix1InMatrix_1,"Glycine betaine 0(15N), 0(13C)",1727633408,Non-IS,Std,NA
230810_Std_4uMStdsMix1InMatrix_2,"Glycine betaine 0(15N), 0(13C)",1450874496,Non-IS,Std,NA
230810_Std_4uMStdsMix1InMatrix_3,"Glycine betaine 0(15N), 0(13C)",1424856832,Non-IS,Std,NA
230810_Std_4uMStdsMix2InH2O_1,"Glycine betaine 0(15N), 0(13C)",1795715200,Non-IS,Std,NA
230810_Std_4uMStdsMix2InH2O_2,"Glycine betaine 0(15N), 0(13C)",1852218368,Non-IS,Std,NA
230810_Std_4uMStdsMix2InH2O_3,"Glycine betaine 0(15N), 0(13C)",1688234624,Non-IS,Std,NA
230810_Std_4uMStdsMix2InMatrix_1,"Glycine betaine 0(15N), 0(13C)",3311556352,Non-IS,Std,NA
230810_Std_4uMStdsMix2InMatrix_2,"Glycine betaine 0(15N), 0(13C)",3288509440,Non-IS,Std,NA
230810_Std_4uMStdsMix2InMatrix_3,"Glycine betaine 0(15N), 0(13C)",3359196416,Non-IS,Std,NA
